,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,99,2000,0.18
1,20,-1.0,199,4000,0.19
2,20,1.0,299,6000,0.27
3,20,0.0,399,8000,0.18
4,20,0.0,499,10000,0.25
5,20,0.0,599,12000,0.3
6,20,1.0,699,14000,0.29
7,20,1.0,799,16000,0.44
8,20,0.0,899,18000,0.48
9,20,1.0,999,20000,0.36
10,20,0.0,1099,22000,0.44
11,20,1.0,1199,24000,0.51
12,20,1.0,1299,26000,0.53
13,20,1.0,1399,28000,0.61
14,20,1.0,1499,30000,0.61
15,20,1.0,1599,32000,0.63
16,20,1.0,1699,34000,0.58
17,20,1.0,1799,36000,0.67
18,20,0.0,1899,38000,0.65
19,20,1.0,1999,40000,0.69
20,20,1.0,2099,42000,0.66
21,20,1.0,2199,44000,0.63
22,20,0.0,2299,46000,0.65
23,20,1.0,2399,48000,0.64
24,20,1.0,2499,50000,0.78
25,20,1.0,2599,52000,0.68
26,20,1.0,2699,54000,0.72
27,20,0.0,2799,56000,0.71
28,20,1.0,2899,58000,0.7
29,20,1.0,2999,60000,0.68
30,20,1.0,3099,62000,0.69
31,20,0.0,3199,64000,0.63
32,20,0.0,3299,66000,0.57
33,20,1.0,3399,68000,0.73
34,20,0.0,3499,70000,0.75
35,20,1.0,3599,72000,0.71
36,20,1.0,3699,74000,0.66
37,20,1.0,3799,76000,0.68
38,20,1.0,3899,78000,0.7
39,20,1.0,3999,80000,0.7
40,20,1.0,4099,82000,0.74
41,20,1.0,4199,84000,0.7
42,20,1.0,4299,86000,0.77
43,20,1.0,4399,88000,0.76
44,20,1.0,4499,90000,0.7
45,20,0.0,4599,92000,0.78
46,20,1.0,4699,94000,0.66
47,20,1.0,4799,96000,0.76
48,20,1.0,4899,98000,0.69
49,20,1.0,4999,100000,0.71
